date,infected,deaths
21/jan/2020,446,9
22/jan/2020,579,17
23/jan/2020,844,25
24/jan/2020,1312,41
25/jan/2020,2015,56
26/jan/2020,2801,80
27/jan/2020,4579,106
28/jan/2020,6061,132
29/jan/2020,7816,170
30/jan/2020,9821,213
31/jan/2020,11948,258
01/feb/2020,14551,304
02/feb/2020,17387,362
03/feb/2020,20626,426
04/feb/2020,24553,492
05/feb/2020,28276,565
06/feb/2020,31439,638
07/feb/2020,34875,724
08/feb/2020,37552,813
09/feb/2020,40553,910
10/feb/2020,43099,1018
11/feb/2020,44919,1114
12/feb/2020,60327,1369
13/feb/2020,65246,1491
14/feb/2020,67100,1526
15/feb/2020,69197,1669
