2020-03-11: p = 2.908, c = 0.661, t0= -0.257, a0= 9.350
2020-03-12: p = 2.711, c = 1.15, t0= -0.000, a0= 3.335
2020-03-13: p = 2.423, c = 3.05, t0= -0.000, a0= -117.677
2020-03-14: p = 2.452, c = 3.22, t0= -0.000, a0= -191.766

2020-03-16: p = 4.157, c = 0.0272, t0= -0.000, a0= 42.739
2020-03-19: p = 4.181, c = 0.0291, t0= -0.000, a0= -111.532
2020-03-21: p = 3.980, c = 0.0582, t0= -0.015, a0= -278.458
2020-03-22: p = 4.187, c = 0.0304, t0= -0.000, a0= -223.770
2020-03-23: p = 4.107, c = 0.0372, t0= -0.000, a0= -107.668
2020-03-25: p = 4.139, c = 0.0343, t0= -0.000, a0= -127.289
2020-03-27: p = 4.124, c = 0.036, t0= -0.000, a0= -134.534
2020-03-28: p = 4.114, c = 0.0372, t0= -0.000, a0= -145.348
2020-03-29: p = 4.006, c = 0.0532, t0= -0.000, a0= -231.576
